title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost,content_name
Furnished 4bdrm Bungalow in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 160,000,000",1000.0,4,4,Furnished,diamond,Furnished 4bdrm Bungalow in Benin City for sale
"Furnished 4bdrm Duplex in Inside An, Abule Egba for sale","Lagos State, Abule Egba",Abule Egba,Lagos State,"₦ 180,000,000",600.0,4,4,Furnished,enterprise,"Furnished 4bdrm Duplex in Inside An, Abule Egba for sale"
1bdrm Block of Flats in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),"₦ 26,000,000",500.0,1,2,Unfurnished,diamond,1bdrm Block of Flats in Kubwa for sale
9bdrm Duplex in Gra Ikeja for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 1,600,000,000",600.0,9,9,Unfurnished,enterprise,9bdrm Duplex in Gra Ikeja for sale
5bdrm Duplex in Off Plantinum Way for sale,"Lekki, Osapa london",Osapa london,Lekki,"₦ 1,100,000,000",500.0,5,5,Unfurnished,False,5bdrm Duplex in Off Plantinum Way for sale
Mini Flat in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 19,000,000",250.0,1,2,Semi-Furnished,diamond,Mini Flat in Ayobo for sale
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 25,000,000",5000.0,2,3,Semi-Furnished,diamond,2bdrm Block of Flats in Benin City for sale
"6bdrm Duplex in Admiralty Estate, Asokoro for sale","Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 650,000,000",700.0,6,6,Unfurnished,enterprise,"6bdrm Duplex in Admiralty Estate, Asokoro for sale"
"3bdrm Bungalow in Efab Queens, Karsana for sale","Gwagwa, Karsana",Karsana,Gwagwa,"₦ 225,000,000",650.0,3,4,Semi-Furnished,vip,"3bdrm Bungalow in Efab Queens, Karsana for sale"
4bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 28,000,000",450.0,4,4,Unfurnished,diamond,4bdrm Apartment in Benin City for sale
