title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost
3bdrm Apartment in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,"₦ 65,000,000",1000.0,3,3,Semi-Furnished,vip_gold
2bdrm Apartment in Area 1 Abuja for sale,"Garki 1, Area 1",Area 1,Garki 1,"₦ 900,000,000",1000.0,2,2,Semi-Furnished,vip_gold
4bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 700,000,000",700.0,4,4,Semi-Furnished,vip_gold
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 680,000,000",1000.0,5,5,Semi-Furnished,vip_gold
"Furnished 3bdrm Block of Flats in Secured Estate, Adeniyi Jones","Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,"₦ 280,000,000",600.0,3,3,Furnished,enterprise
"4bdrm Duplex in Secured Area, Oko-Oba for sale","Agege, Oko-Oba",Oko-Oba,Agege,"₦ 299,000,000",280.0,4,4,Semi-Furnished,enterprise
4bdrm Duplex in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),"₦ 125,000,000",500.0,4,4,Semi-Furnished,vip_gold
3bdrm Apartment in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 145,000,000",1000.0,3,3,Semi-Furnished,vip_gold
"5bdrm Duplex in Mabushi Abuja, Wuye for sale","Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 270,000,000",1000.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),"₦ 350,000,000",1000.0,4,4,Semi-Furnished,vip_gold
4bdrm Duplex in Uzoba for sale,"Port-Harcourt, Uzoba",Uzoba,Port-Harcourt,"₦ 250,000,000",700.0,4,4,Semi-Furnished,enterprise
6bdrm Duplex in Trans Amadi for sale,"Port-Harcourt, Trans Amadi",Trans Amadi,Port-Harcourt,"₦ 250,000,000",465.0,6,8,Semi-Furnished,enterprise
3bdrm Apartment in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 160,000,000",1000.0,3,3,Semi-Furnished,vip_gold
5bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 2,500,000,000",1000.0,5,5,Semi-Furnished,vip_gold
