Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
6bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),650000000.0,1000.0,6,6,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,650000000.0,600.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
Furnished 5bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),480000000.0,1000.0,5,5,Furnished,vip_gold,Duplex,Abuja (FCT)
3bdrm Apartment in Wuse Zone Abuja for sale,"Abuja (FCT), Wuse",Wuse,Abuja (FCT),800000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
4bdrm Duplex in Lugbe Abuja for sale,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),250000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"Functional 5bedrm Duplex,Secured Estate in Guzape for Sale","Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),350000000.0,,5,5,Semi-Furnished,enterprise,Duplex,Abuja (FCT)
4bdrm Duplex in Jabi Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),300000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),1000000000.0,1500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Gudu Abuja for sale,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),380000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
6bdrm Duplex in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),1300000000.0,1100.0,6,6,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Guzape Main for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),500000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Utako Main for sale,"Abuja (FCT), Utako",Utako,Abuja (FCT),1300000000.0,2460.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Kado Abuja for sale,"Abuja (FCT), Kado",Kado,Abuja (FCT),250000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
2bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),700000000.0,1000.0,2,2,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Gwarinpa Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),500000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),620000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"9bdrm Duplex in Games Village, Kaura for sale","Abuja (FCT), Kaura",Kaura,Abuja (FCT),650000000.0,1000.0,9,9,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
